customer_id,reference_month,monthly_value,amount_paid,overdue_amount,overdue_days,late_payments,support_tickets,complaints,meetings_count,days_without_contact,account_manager_changes,nps,satisfaction_score,service_quality_score,projects_active,projects_completed,projects_delayed,delivery_on_time_pct,consultants_allocated,customer_status,churn
C00001,2024-06-01,15838.11,15838.11,0.0,0,0,8,1,0.0,47,1,47.0,7.2,7.4,6,0,0,78.3,3,Ativo,0
C00001,2024-07-01,18430.44,18430.44,0.0,0,0,11,1,2.0,31,1,66.0,9.3,7.3,8,5,1,88.7,7,Ativo,0
C00001,2024-08-01,6844.17,6844.17,0.0,0,0,0,2,1.0,13,0,79.0,7.2,7.2,5,3,1,76.4,10,Ativo,0
C00001,2024-09-01,21436.19,16035.1,834.66,45,1,4,2,2.0,0,0,71.0,8.2,7.1,1,5,1,97.5,4,Ativo,0
C00001,2024-10-01,20228.0,20228.0,0.0,0,0,5,0,8.0,58,2,82.0,7.4,9.7,8,3,2,72.9,2,Ativo,0
C00001,2024-11-01,24326.24,24326.24,0.0,0,0,8,5,3.0,0,0,75.0,7.8,6.8,7,6,2,86.0,2,Ativo,0
C00001,2024-12-01,10683.76,5872.32,2857.51,45,2,1,3,8.0,38,1,73.0,9.4,9.2,1,6,2,91.2,2,Ativo,0
C00001,2025-01-01,23166.82,16368.56,2916.26,60,1,8,0,6.0,29,1,52.0,6.5,6.8,2,4,1,79.3,10,Ativo,0
C00001,2025-02-01,5017.4,5017.4,0.0,0,0,11,0,3.0,34,0,63.0,9.4,6.8,3,5,1,79.4,3,Ativo,0
C00001,2025-03-01,5261.52,5261.52,0.0,0,0,9,3,3.0,48,0,43.0,6.3,8.1,3,3,1,78.9,2,Ativo,0
C00001,2025-04-01,9505.9,9505.9,0.0,0,0,3,0,5.0,56,2,75.0,7.1,9.4,2,2,1,71.2,1,Ativo,0
C00001,2025-05-01,20786.28,20786.28,0.0,0,0,7,4,1.0,42,2,42.0,9.5,8.5,7,2,2,89.9,6,Ativo,0
C00001,2025-06-01,10034.87,10034.87,0.0,0,0,3,5,4.0,20,1,45.0,9.0,9.0,3,4,0,74.2,10,Ativo,0
C00001,2025-07-01,21869.11,21869.11,0.0,0,0,2,0,6.0,19,2,40.0,9.7,9.7,2,0,3,99.2,7,Ativo,0
C00001,2025-08-01,24608.45,16796.81,1203.55,15,1,12,5,8.0,40,0,50.0,8.5,6.5,2,3,1,82.5,9,Ativo,0
C00001,2025-09-01,23351.21,23351.21,0.0,0,0,10,3,5.0,59,2,81.0,6.3,9.1,7,1,0,85.9,5,Ativo,0
C00001,2025-10-01,13924.53,13924.53,0.0,0,0,11,0,0.0,22,2,59.0,6.1,9.2,6,3,1,92.8,9,Ativo,0
C00001,2025-11-01,16800.54,16800.54,0.0,0,0,2,1,0.0,2,2,89.0,9.6,7.1,6,4,3,92.1,5,Ativo,0
C00001,2025-12-01,20711.35,20711.35,0.0,0,0,2,4,5.0,5,1,72.0,6.3,8.9,1,2,0,91.2,3,Ativo,0
C00002,2024-06-01,11787.54,11787.54,0.0,0,0,4,4,0.0,11,0,63.0,5.6,9.1,5,3,2,83.5,7,Ativo,0
