customer_id,company_name,industry,company_size,employees,state,city,customer_since,acquisition_channel,service_type,contract_type,payment_method
C00001,Empresa 0001,Indústria,Média,511,Rj,Rio De Janeiro,2022-02-21,Site,Consultoria,Mensal,Transferência
C00002,Empresa 0002,Tecnologia,Pequena,486,Sp,Santos,2022-03-03,Parceiro,Consultoria,Mensal,Transferência
C00003,Empresa 0003,Financeiro,Média,23,Pr,Curitiba,2024-07-08,Linkedin,Tecnologia,Anual,Boleto
C00004,Empresa 0004,Tecnologia,Pequena,788,Pr,Curitiba,2023-11-21,Evento,Tecnologia,Anual,Pix
C00005,Empresa 0005,Tecnologia,Média,171,Pe,Jaboatão Dos Guararapes,2025-01-03,Parceiro,Tecnologia,Mensal,Pix
C00006,Empresa 0006,Varejo,Média,173,Sp,São Paulo,2025-09-16,Indicação,Gestão,Anual,Transferência
C00007,Empresa 0007,Saúde,Média,439,Rs,Caxias Do Sul,2022-11-30,Indicação,Dados,Mensal,Boleto
C00008,Empresa 0008,Saúde,Grande,1150,Pe,Recife,2024-02-17,Evento,Consultoria,Mensal,Pix
C00009,Empresa 0009,Saúde,Pequena,442,Rs,Caxias Do Sul,2024-04-01,Site,Gestão,Anual,Transferência
C00010,Empresa 0010,Varejo,Pequena,1159,Mg,Uberlândia,2023-06-27,Parceiro,Gestão,Anual,Cartão
C00011,Empresa 0011,Financeiro,Média,196,Pr,Curitiba,2022-10-11,Indicação,Dados,Mensal,Transferência
C00012,Empresa 0012,Educação,Média,968,Es,Vila Velha,2022-05-11,Parceiro,Consultoria,Mensal,Cartão
C00013,Empresa 0013,Saúde,Média,333,Rs,Caxias Do Sul,2022-08-17,Indicação,Tecnologia,Mensal,Pix
C00014,Empresa 0014,Financeiro,Grande,417,Sc,Florianópolis,2025-08-01,Evento,Dados,Mensal,Cartão
C00015,Empresa 0015,Tecnologia,Média,639,Pe,Não Informado,2022-02-09,Indicação,Dados,Mensal,Pix
C00016,Empresa 0016,Serviços,Grande,267,Pe,Recife,2022-05-22,Linkedin,Dados,Anual,Transferência
C00017,Empresa 0017,Serviços,Grande,421,Pr,Londrina,2025-01-09,Linkedin,Tecnologia,Anual,Transferência
C00018,Empresa 0018,Varejo,Pequena,702,Rj,Rio De Janeiro,2023-05-23,Parceiro,Dados,Mensal,Pix
C00019,Empresa 0019,Indústria,Pequena,478,Rj,Rio De Janeiro,2025-12-20,Indicação,Tecnologia,Mensal,Boleto
C00020,Empresa 0020,Educação,Pequena,1114,Sc,Florianópolis,2025-10-02,Parceiro,Gestão,Mensal,Transferência
C00021,Empresa 0021,Tecnologia,Pequena,892,Ba,Feira De Santana,2023-01-25,Linkedin,Gestão,Anual,Pix
C00022,Empresa 0022,Educação,Grande,704,Rj,Rio De Janeiro,2022-05-05,Site,Dados,Mensal,Transferência
C00023,Empresa 0023,Varejo,Média,957,Mg,Belo Horizonte,2024-05-14,Indicação,Gestão,Mensal,Pix
C00024,Empresa 0024,Tecnologia,Pequena,350,Go,Anápolis,2022-01-31,Linkedin,Não Informado,Mensal,Transferência
C00025,Empresa 0025,Educação,Pequena,809,Sp,Campinas,2022-12-04,Linkedin,Tecnologia,Anual,Transferência
C00026,Empresa 0026,Saúde,Pequena,129,Mg,Belo Horizonte,2023-01-24,Evento,Consultoria,Mensal,Transferência
C00027,Empresa 0027,Varejo,Pequena,1050,Go,Goiânia,2024-12-23,Site,Consultoria,Mensal,Boleto
C00028,Empresa 0028,Financeiro,Pequena,1195,Ba,Salvador,2022-09-03,Parceiro,Consultoria,Anual,Cartão
C00029,Empresa 0029,Indústria,Grande,653,Sc,Florianópolis,2023-02-23,Evento,Gestão,Mensal,Cartão
C00030,Empresa 0030,Serviços,Pequena,29,Pe,Jaboatão Dos Guararapes,2023-10-10,Parceiro,Consultoria,Mensal,Boleto
C00031,Empresa 0031,Varejo,Média,150,Go,Goiânia,2023-06-28,Evento,Tecnologia,Mensal,Transferência
C00032,Empresa 0032,Saúde,Grande,1093,Go,Goiânia,2025-12-11,Parceiro,Tecnologia,Mensal,Boleto
C00033,Empresa 0033,Tecnologia,Grande,1143,Sc,Florianópolis,2022-08-25,Evento,Tecnologia,Mensal,Cartão
C00034,Empresa 0034,Indústria,Média,1045,Pr,Londrina,2025-11-08,Evento,Consultoria,Mensal,Transferência
C00035,Empresa 0035,Tecnologia,Média,277,Sc,Joinville,2022-04-01,Site,Gestão,Anual,Pix
C00036,Empresa 0036,Indústria,Pequena,1127,Rj,Rio De Janeiro,2022-06-04,Evento,Dados,Anual,Boleto
C00037,Empresa 0037,Saúde,Pequena,742,Sp,São Paulo,2023-09-24,Site,Consultoria,Anual,Transferência
C00038,Empresa 0038,Varejo,Pequena,372,Es,Vila Velha,2022-11-13,Indicação,Dados,Anual,Transferência
C00039,Empresa 0039,Varejo,Grande,231,Pr,Londrina,2023-07-01,Indicação,Gestão,Mensal,Boleto
C00040,Empresa 0040,Saúde,Pequena,466,Pe,Recife,2023-12-18,Site,Gestão,Anual,Cartão
C00041,Empresa 0041,Saúde,Grande,1053,Rj,Niterói,2023-07-26,Parceiro,Tecnologia,Mensal,Pix
C00042,Empresa 0042,Financeiro,Média,88,Sc,Florianópolis,2023-01-01,Parceiro,Gestão,Anual,Cartão
C00043,Empresa 0043,Financeiro,Pequena,798,Ba,Salvador,2025-05-26,Evento,Consultoria,Não Informado,Pix
C00044,Empresa 0044,Indústria,Grande,413,Go,Anápolis,2025-01-07,Linkedin,Consultoria,Anual,Cartão
C00045,Empresa 0045,Financeiro,Média,846,Rj,Não Informado,2023-09-08,Linkedin,Tecnologia,Mensal,Boleto
C00046,Empresa 0046,Educação,Grande,366,Ba,Feira De Santana,2025-09-23,Linkedin,Consultoria,Anual,Cartão
C00047,Empresa 0047,Serviços,Grande,669,Pr,Londrina,2024-05-30,Linkedin,Gestão,Mensal,Transferência
C00048,Empresa 0048,Tecnologia,Média,1065,Mg,Uberlândia,2025-09-11,Indicação,Dados,Anual,Boleto
C00049,Empresa 0049,Tecnologia,Pequena,511,Pr,Londrina,2022-10-29,Parceiro,Consultoria,Anual,Transferência
C00050,Empresa 0050,Indústria,Grande,796,Es,Vila Velha,2023-02-03,Linkedin,Dados,Mensal,Pix
C00051,Empresa 0051,Varejo,Pequena,1070,Rj,Niterói,2024-05-20,Indicação,Dados,Mensal,Transferência
C00052,Empresa 0052,Indústria,Grande,1154,Mg,Uberlândia,2024-08-09,Linkedin,Gestão,Anual,Boleto
C00053,Empresa 0053,Saúde,Pequena,577,Pe,Não Informado,2024-07-10,Site,Tecnologia,Anual,Pix
C00054,Empresa 0054,Tecnologia,Média,664,Sc,Florianópolis,2023-04-26,Site,Dados,Mensal,Transferência
C00055,Empresa 0055,Varejo,Pequena,859,Mg,Uberlândia,2025-12-17,Evento,Gestão,Anual,Pix
C00056,Empresa 0056,Educação,Grande,50,Pr,Londrina,2024-05-10,Linkedin,Consultoria,Anual,Cartão
C00057,Empresa 0057,Financeiro,Grande,1128,Ba,Salvador,2024-05-08,Linkedin,Dados,Anual,Transferência
